id_leggo,id_ext,casa,id_autor,tipo_autor,nome_autor,partido,uf,tipo_generico,sigla_local,peso_total_documentos,num_documentos,is_important,bancada
55,16526,camara,74043,deputado,Wellington Roberto,PL,PB,Emenda,PLEN,17,17,TRUE,governo
55,16526,camara,204396,deputado,Vermelho,PSD,PR,Emenda,PLEN,11,11,TRUE,governo
55,16526,camara,160508,deputado,Afonso Florence,PT,BA,Emenda,PLEN,9,9,TRUE,oposição
55,16526,camara,151208,deputado,Laercio Oliveira,PP,SE,Emenda,PLEN,6,6,TRUE,governo
55,16526,camara,160639,deputado,Professora Dorinha Seabra Rezende,DEM,TO,Emenda,PLEN,6,6,TRUE,governo
55,16526,camara,204388,deputado,Bibo Nunes,PSL,RS,Emenda,PLEN,6,6,TRUE,governo
55,16526,camara,141391,deputado,Arnaldo Jardim,CIDADANIA,SP,Emenda,PLEN,5,5,TRUE,governo
55,16526,camara,204477,deputado,Felício Laterça,PSL,RJ,Emenda,PLEN,5,5,TRUE,governo
55,16526,camara,204541,deputado,Eduardo Bismarck,PDT,CE,Proposição Apensada,CCP,5,5,FALSE,oposição
55,16526,camara,160665,deputado,Augusto Coutinho,SOLIDARIEDADE,PE,Emenda,PLEN,4.2,5,TRUE,governo
55,16526,camara,74060,deputado,Daniel Almeida,PCdoB,BA,Emenda,PLEN,4,4,TRUE,oposição
55,16526,camara,74158,deputado,Mário Heringer,PDT,MG,Emenda,PLEN,4,4,TRUE,oposição
55,16526,camara,133439,deputado,André Figueiredo,PDT,CE,Emenda,PLEN,4,4,TRUE,oposição
55,16526,camara,81055,deputado,Márcio Jerry,PCdoB,MA,Emenda,PLEN,3,3,TRUE,oposição
55,16526,camara,160587,deputado,Fábio Trad,PSD,MS,Emenda,PLEN,3,3,TRUE,governo
55,16526,camara,164359,deputado,Delegado Waldir,PSL,GO,Emenda,PLEN,3,3,TRUE,governo
55,16526,camara,205865,deputado,Reinhold Stephanes Junior,PSD,PR,Emenda,PLEN,3,3,TRUE,governo
55,16526,camara,73466,deputado,Rubens Bueno,CIDADANIA,PR,Proposição Apensada,CCP,2,2,FALSE,governo
55,16526,camara,74366,deputado,João Campos,PRB,GO,Emenda,PLEN,2,2,TRUE,governo
55,16526,camara,160665,deputado,Augusto Coutinho,SOLIDARIEDADE,PE,Parecer,PLEN,2,2,TRUE,governo
55,16526,camara,178910,deputado,Joaquim Passarinho,PSD,PA,Emenda,PLEN,2,2,TRUE,governo
55,16526,camara,204398,deputado,Felipe Francischini,PSL,PR,Emenda,PLEN,2,2,TRUE,governo
55,16526,camara,204418,deputado,Luizão Goulart,PRB,PR,Emenda,PLEN,2,2,TRUE,governo
55,16526,camara,204418,deputado,Luizão Goulart,PRB,PR,Requerimento,PLEN,2,2,TRUE,governo
55,16526,camara,204530,deputado,Rodrigo Agostinho,PSB,SP,Proposição Apensada,CCP,2,2,FALSE,oposição
55,16526,camara,178854,deputado,Elmar Nascimento,DEM,BA,Emenda,PLEN,1.2,2,TRUE,governo
55,16526,camara,74283,deputado,Vicentinho,PT,SP,Requerimento,PLEN,1,1,TRUE,oposição
55,16526,camara,92699,deputado,Fernando Monteiro,PP,PE,Emenda,PLEN,1,1,TRUE,governo
55,16526,camara,133810,deputado,Marcelo Moraes,PTB,RS,Proposição Apensada,CCP,1,1,FALSE,governo
55,16526,camara,141508,deputado,Mauro Nazif,PSB,RO,Requerimento,PLEN,1,1,TRUE,oposição
55,16526,camara,141555,deputado,Vinicius Carvalho,PRB,SP,Emenda,PLEN,1,1,TRUE,governo
55,16526,camara,160635,deputado,Ruy Carneiro,PSDB,PB,Emenda,PLEN,1,1,TRUE,governo
