id_leggo,id_autor,nome,partido,uf,bancada,nome_eleitoral,node_size
1,160426,Dep. Rogério Rosso,PSD,DF,governo,Dep. Rogério Rosso (PSD/DF),1
1,285,Sen. Marcio Bittar,MDB,AC,governo,Sen. Marcio Bittar (MDB/AC),2
1,5008,Sen. Humberto Costa,PT,PE,oposição,Sen. Humberto Costa (PT/PE),1
1,5411,Sen. Weverton,PDT,MA,oposição,Sen. Weverton (PDT/MA),5
1,5533,Sen. Lasier Martins,PSD,RS,governo,Sen. Lasier Martins (PSD/RS),1
1,5535,Sen. Telmário Mota,PROS,RR,governo,Sen. Telmário Mota (PROS/RR),1
1,5585,Sen. Luiz do Carmo,MDB,GO,governo,Sen. Luiz do Carmo (MDB/GO),1
1,5666,Sen. Major Olimpio,PSL,SP,governo,Sen. Major Olimpio (PSL/SP),9
1,5718,Sen. Eliziane Gama,CIDADANIA,MA,governo,Sen. Eliziane Gama (CIDADANIA/MA),1
1,5732,Sen. Rodrigo Pacheco,DEM,MG,governo,Sen. Rodrigo Pacheco (DEM/MG),5
1,5895,Sen. Jorge Kajuru,PSB,GO,oposição,Sen. Jorge Kajuru (PSB/GO),1
1,5929,Sen. Juíza Selma,PSL,MT,governo,Sen. Juíza Selma (PSL/MT),9
1,5953,Sen. Fabiano Contarato,REDE,ES,oposição,Sen. Fabiano Contarato (REDE/ES),1
1,5967,Sen. Angelo Coronel,PSD,BA,governo,Sen. Angelo Coronel (PSD/BA),3
1,5982,Sen. Alessandro Vieira,CIDADANIA,SE,governo,Sen. Alessandro Vieira (CIDADANIA/SE),7
1,751,Sen. Arolde de Oliveira,PSD,RJ,governo,Sen. Arolde de Oliveira (PSD/RJ),3
1,945,Sen. Alvaro Dias,PODEMOS,PR,governo,Sen. Alvaro Dias (PODEMOS/PR),3
2,141516,Dep. Paulo Abi-Ackel,PSDB,MG,governo,Dep. Paulo Abi-Ackel (PSDB/MG),1.5
2,141536,Dep. Rômulo Gouveia,"",PB,governo,Dep. Rômulo Gouveia (/PB),1
2,160511,Dep. Alessandro Molon,PSB,RJ,oposição,Dep. Alessandro Molon (PSB/RJ),1
2,160515,Dep. Ronaldo Benedet,MDB,SC,governo,Dep. Ronaldo Benedet (MDB/SC),2
2,160559,Dep. Alceu Moreira,MDB,,governo,Dep. Alceu Moreira (MDB/NA),1
2,160636,Dep. Wilson Filho,PTB,PB,governo,Dep. Wilson Filho (PTB/PB),1
2,160643,Dep. Dr. Jorge Silva,SOLIDARIEDADE,ES,governo,Dep. Dr. Jorge Silva (SOLIDARIEDADE/ES),1
2,160677,Dep. Francisco Floriano,DEM,RJ,governo,Dep. Francisco Floriano (DEM/RJ),1
2,178896,Dep. Newton Cardoso Jr,MDB,MG,governo,Dep. Newton Cardoso Jr (MDB/MG),2
2,178908,Dep. Delegado Éder Mauro,PSD,PA,governo,Dep. Delegado Éder Mauro (PSD/PA),1
2,178954,Dep. Lucio Mosquini,MDB,RO,governo,Dep. Lucio Mosquini (MDB/RO),2
2,204536,Dep. Kim Kataguiri,DEM,SP,governo,Dep. Kim Kataguiri (DEM/SP),1
2,73569,Dep. Jorge Pinheiro,PRB,GO,governo,Dep. Jorge Pinheiro (PRB/GO),1
2,73655,Dep. Augusto Carvalho,SOLIDARIEDADE,DF,governo,Dep. Augusto Carvalho (SOLIDARIEDADE/DF),2
2,73928,Dep. Ann Pontes,PMDB,PA,governo,Dep. Ann Pontes (PMDB/PA),1
2,74153,Dep. Ivo José,PT,MG,oposição,Dep. Ivo José (PT/MG),1
2,74253,Dep. Julio Lopes,PP,RJ,governo,Dep. Julio Lopes (PP/RJ),0.5
2,74321,Dep. Betinho Rosado,PP**,RN,governo,Dep. Betinho Rosado (PP**/RN),1
2,74356,Dep. Silas Câmara,PRB,AM,governo,Dep. Silas Câmara (PRB/AM),1
2,74439,Dep. Wolney Queiroz,PDT,PE,oposição,Dep. Wolney Queiroz (PDT/PE),2
2,74665,Dep. Jaime Martins,PROS,MG,governo,Dep. Jaime Martins (PROS/MG),1
2,76874,Dep. Marcelo Freixo,PSOL,RJ,oposição,Dep. Marcelo Freixo (PSOL/RJ),1
3,204523,Dep. Lucas Gonzalez,NOVO,MG,governo,Dep. Lucas Gonzalez (NOVO/MG),1
3,1186,Sen. Luis Carlos Heinze,PP,RS,governo,Sen. Luis Carlos Heinze (PP/RS),1
3,4560,Sen. Sérgio Petecão,PSD,AC,governo,Sen. Sérgio Petecão (PSD/AC),1
4,133968,Dep. Paulo Ramos,PDT,RJ,oposição,Dep. Paulo Ramos (PDT/RJ),1
4,148134,Dep. Professor Victório Galli,PSL,MT,governo,Dep. Professor Victório Galli (PSL/MT),1
4,160632,Dep. Zé Silva,SOLIDARIEDADE,MG,governo,Dep. Zé Silva (SOLIDARIEDADE/MG),1
4,178835,Dep. Afonso Motta,PDT,RS,oposição,Dep. Afonso Motta (PDT/RS),1
4,178858,Dep. Mário Negromonte Jr.,PP,BA,governo,Dep. Mário Negromonte Jr. (PP/BA),1
4,178930,Dep. Evandro Roman,PSD,PR,governo,Dep. Evandro Roman (PSD/PR),1
4,178970,Dep. João Daniel,PT,SE,oposição,Dep. João Daniel (PT/SE),2
4,178986,Dep. Nilto Tatto,PT,SP,oposição,Dep. Nilto Tatto (PT/SP),1
4,204478,Dep. Vinicius Farah,MDB,RJ,governo,Dep. Vinicius Farah (MDB/RJ),1
4,72442,Dep. Felipe Carreras,PSB,PE,oposição,Dep. Felipe Carreras (PSB/PE),2
4,73459,Dep. Dr. Rosinha,PT,PR,oposição,Dep. Dr. Rosinha (PT/PR),1
4,74400,Dep. Paulo Pimenta,PT,RS,oposição,Dep. Paulo Pimenta (PT/RS),1
5,160531,Dep. Jhonatan De Jesus,PRB,RR,governo,Dep. Jhonatan De Jesus (PRB/RR),1
5,204544,Dep. Alexandre Frota,PSL,SP,governo,Dep. Alexandre Frota (PSL/SP),1
6,141417,Dep. Edio Lopes,PL,RR,governo,Dep. Edio Lopes (PL/RR),3
6,141448,Dep. Homero Pereira,PSD,,governo,Dep. Homero Pereira (PSD/NA),1
6,148134,Dep. Professor Victório Galli,PSL,MT,governo,Dep. Professor Victório Galli (PSL/MT),1
6,160559,Dep. Alceu Moreira,MDB,,governo,Dep. Alceu Moreira (MDB/NA),2
6,160600,Dep. Arthur Oliveira Maia,DEM,BA,governo,Dep. Arthur Oliveira Maia (DEM/BA),1
6,160670,Dep. Padre Ton,PT,RO,oposição,Dep. Padre Ton (PT/RO),1
6,166401,Dep. Nilson Leitão,PSDB,MT,governo,Dep. Nilson Leitão (PSDB/MT),1
6,178963,Dep. Covatti Filho,PP,,governo,Dep. Covatti Filho (PP/NA),2
6,204478,Dep. Vinicius Farah,MDB,RJ,governo,Dep. Vinicius Farah (MDB/RJ),1
6,73933,Dep. Zequinha Marinho,PSC,,governo,Dep. Zequinha Marinho (PSC/NA),1
6,74010,Dep. Valdir Colatto,MDB,SC,governo,Dep. Valdir Colatto (MDB/SC),1
6,74542,Dep. Félix Mendonça,DEM,BA,governo,Dep. Félix Mendonça (DEM/BA),1
6,74566,Dep. Geraldo Simões,PT,BA,oposição,Dep. Geraldo Simões (PT/BA),1
8,178970,Dep. João Daniel,PT,SE,oposição,Dep. João Daniel (PT/SE),1
8,178986,Dep. Nilto Tatto,PT,SP,oposição,Dep. Nilto Tatto (PT/SP),1
9,74171,Dep. Chico Alencar,PSOL,RJ,oposição,Dep. Chico Alencar (PSOL/RJ),1
10,141411,Dep. Dagoberto Nogueira,PDT,MS,oposição,Dep. Dagoberto Nogueira (PDT/MS),1
10,148134,Dep. Professor Victório Galli,PSL,MT,governo,Dep. Professor Victório Galli (PSL/MT),1
10,160531,Dep. Jhonatan De Jesus,PRB,RR,governo,Dep. Jhonatan De Jesus (PRB/RR),2
10,160642,Dep. Pastor Eurico,PATRIOTA,PE,governo,Dep. Pastor Eurico (PATRIOTA/PE),2
10,160672,Dep. Jean Wyllys,PSOL,,oposição,Dep. Jean Wyllys (PSOL/NA),1
10,164359,Dep. Delegado Waldir,PSL,GO,governo,Dep. Delegado Waldir (PSL/GO),2
10,178825,Dep. Leo De Brito,PT,,oposição,Dep. Leo De Brito (PT/NA),1
10,178938,Dep. Cabo Daciolo,PATRI,RJ,governo,Dep. Cabo Daciolo (PATRI/RJ),1
10,204374,Dep. Bia Kicis,PSL,DF,governo,Dep. Bia Kicis (PSL/DF),1
10,204407,Dep. Fernanda Melchionna,PSOL,RS,oposição,Dep. Fernanda Melchionna (PSOL/RS),1.4666666666666666
10,204441,Dep. Otoni De Paula,PSC,RJ,governo,Dep. Otoni De Paula (PSC/RJ),1
10,204444,Dep. Helio Lopes,PSL,RJ,governo,Dep. Helio Lopes (PSL/RJ),2
10,204453,Dep. Natália Bonavides,PT,RN,oposição,Dep. Natália Bonavides (PT/RN),1
10,204464,Dep. Talíria Petrone,PSOL,RJ,oposição,Dep. Talíria Petrone (PSOL/RJ),0.8
10,204478,Dep. Vinicius Farah,MDB,RJ,governo,Dep. Vinicius Farah (MDB/RJ),1
10,204503,Dep. Alexandre Padilha,PT,SP,oposição,Dep. Alexandre Padilha (PT/SP),1
10,204509,Dep. Áurea Carolina,PSOL,MG,oposição,Dep. Áurea Carolina (PSOL/MG),0.8
10,204535,Dep. Sâmia Bomfim,PSOL,SP,oposição,Dep. Sâmia Bomfim (PSOL/SP),1.4666666666666666
10,204542,Dep. Denis Bezerra,PSB,CE,oposição,Dep. Denis Bezerra (PSB/CE),1
10,204564,Dep. Igor Kannário,PHS,BA,governo,Dep. Igor Kannário (PHS/BA),1
10,4931,Dep. Izalci Lucas,PSDB,DF,governo,Dep. Izalci Lucas (PSDB/DF),1
10,74784,Dep. Luiza Erundina,PSOL,SP,oposição,Dep. Luiza Erundina (PSOL/SP),0.8
10,99654,Dep. Erivelton Santana,PATRI,BA,governo,Dep. Erivelton Santana (PATRI/BA),2
10,205548,Dep. David Miranda,PSOL,RJ,oposição,Dep. David Miranda (PSOL/RJ),0.6666666666666666
11,109152,Dep. Bernardo Santana De Vasconcellos,"",MG,governo,Dep. Bernardo Santana De Vasconcellos (/MG),1
11,114941,Dep. Josi Nunes,PROS,TO,governo,Dep. Josi Nunes (PROS/TO),1
11,116379,Dep. Darci De Matos,PSD,SC,governo,Dep. Darci De Matos (PSD/SC),1
11,134812,Dep. Edmilson Rodrigues,PSOL,PA,oposição,Dep. Edmilson Rodrigues (PSOL/PA),1
11,137070,Dep. Vicentinho Júnior,PL,TO,governo,Dep. Vicentinho Júnior (PL/TO),1
11,141401,Dep. Carlos Bezerra,MDB,,governo,Dep. Carlos Bezerra (MDB/NA),1
11,141411,Dep. Dagoberto Nogueira,PDT,MS,oposição,Dep. Dagoberto Nogueira (PDT/MS),1
11,141417,Dep. Edio Lopes,PL,RR,governo,Dep. Edio Lopes (PL/RR),1
11,141464,Dep. José Airton Cirilo,PT,CE,oposição,Dep. José Airton Cirilo (PT/CE),1
11,141478,Dep. Laerte Bessa,PR,DF,governo,Dep. Laerte Bessa (PR/DF),2
11,141498,Dep. Dr. Ubiali,PSB,SP,oposição,Dep. Dr. Ubiali (PSB/SP),1
11,141536,Dep. Rômulo Gouveia,"",PB,governo,Dep. Rômulo Gouveia (/PB),1
11,141555,Dep. Vinicius Carvalho,PRB,SP,governo,Dep. Vinicius Carvalho (PRB/SP),1
11,141562,Dep. Lelo Coimbra,MDB,ES,governo,Dep. Lelo Coimbra (MDB/ES),1
11,148134,Dep. Professor Victório Galli,PSL,MT,governo,Dep. Professor Victório Galli (PSL/MT),1
11,149327,Dep. Major Fábio,PROS,PB,governo,Dep. Major Fábio (PROS/PB),1
11,151208,Dep. Laercio Oliveira,PP,SE,governo,Dep. Laercio Oliveira (PP/SE),1
11,159238,Dep. Marcus Pestana,PSDB,MG,governo,Dep. Marcus Pestana (PSDB/MG),0.6666666666666666
11,160511,Dep. Alessandro Molon,PSB,RJ,oposição,Dep. Alessandro Molon (PSB/RJ),1
11,160545,Dep. Alexandre Leite,DEM,SP,governo,Dep. Alexandre Leite (DEM/SP),3
11,160559,Dep. Alceu Moreira,MDB,,governo,Dep. Alceu Moreira (MDB/NA),1
11,160571,Dep. João Rodrigues,PSD,,governo,Dep. João Rodrigues (PSD/NA),2
11,160596,Dep. Heuler Cruvinel,PP,GO,governo,Dep. Heuler Cruvinel (PP/GO),3
11,160598,Dep. Flávia Morais,PDT,GO,oposição,Dep. Flávia Morais (PDT/GO),1
11,160601,Dep. Pr. Marco Feliciano,PODE,SP,governo,Dep. Pr. Marco Feliciano (PODE/SP),1
11,160636,Dep. Wilson Filho,PTB,PB,governo,Dep. Wilson Filho (PTB/PB),1
