cargo,id_parlamentar,nome,partido,uf,situacao,sigla,casa,foto
NA,1,Eduardo Braga,MDB,AM,Titular,CAE,senado,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4994.jpg
NA,1,Renan Calheiros,MDB,AL,Suplente,CAE,senado,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador70.jpg
NA,1,Mecias de Jesus,PRB,RR,Titular,CAE,senado,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6027.jpg
NA,1,Jader Barbalho,MDB,PA,Suplente,CAE,senado,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador35.jpg
NA,1,Fernando Bezerra Coelho,MDB,PE,Titular,CAE,senado,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5540.jpg
NA,1,Dário Berger,MDB,SC,Suplente,CAE,senado,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5537.jpg
NA,1,Confúcio Moura,MDB,RO,Titular,CAE,senado,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador475.jpg
NA,1,Marcelo Castro,MDB,PI,Suplente,CAE,senado,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador742.jpg
NA,1,Luiz do Carmo,MDB,GO,Titular,CAE,senado,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5585.jpg
NA,1,Marcio Bittar,MDB,AC,Suplente,CAE,senado,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador285.jpg
NA,1,Ciro Nogueira,PP,PI,Titular,CAE,senado,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador739.jpg
NA,1,Esperidião Amin,PP,SC,Suplente,CAE,senado,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador22.jpg
NA,1,Daniella Ribeiro,PP,PB,Titular,CAE,senado,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5998.jpg
NA,1,Vanderlan Cardoso,PP,GO,Suplente,CAE,senado,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5899.jpg
NA,2,José Serra,PSDB,SP,Titular,CAE,senado,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador90.jpg
NA,2,Lasier Martins,PODE,RS,Suplente,CAE,senado,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5533.jpg
VICE-PRESIDENTE,2,Plínio Valério,PSDB,AM,Titular,CAE,senado,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5502.jpg
NA,2,Elmano Férrer,PODE,PI,Suplente,CAE,senado,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5531.jpg
NA,2,Tasso Jereissati,PSDB,CE,Titular,CAE,senado,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3396.jpg
