data,hora,sigla,id_ext,local,casa,semana,ano
2019-04-02,14:00,PL 1202/2007,353631,Plenário,camara,14,2019
2019-04-02,14:00,PL 1292/1995,16526,Plenário,camara,14,2019
2019-04-02,14:00,PL 1321/2019,2193540,Plenário,camara,14,2019
2019-04-03,14:00,PL 1202/2007,353631,Plenário,camara,14,2019
2019-04-03,14:00,PL 1292/1995,16526,Plenário,camara,14,2019
2019-04-09,14:30,PEC 6/2019,2192459,CCJC,camara,15,2019
2019-04-09,14:00,PL 01321/2019,136173,Local não informado,senado,15,2019
2019-04-09,14:00,PL 1202/2007,353631,Plenário,camara,15,2019
2019-04-09,14:00,PL 1292/1995,16526,Plenário,camara,15,2019
2019-04-10,14:00,PL 01321/2019,136173,Local não informado,senado,15,2019
2019-04-10,14:00,PL 1202/2007,353631,Plenário,camara,15,2019
2019-04-10,14:00,PL 1292/1995,16526,Plenário,camara,15,2019
2019-04-15,14:00,PEC 6/2019,2192459,CCJC,camara,15,2019
2019-04-15,19:02,PL 1202/2007,353631,Plenário,camara,15,2019
2019-04-15,19:02,PL 1292/1995,16526,Plenário,camara,15,2019
2019-04-16,10:00,PEC 6/2019,2192459,CCJC,camara,16,2019
2019-04-16,14:00,PL 01321/2019,136173,Local não informado,senado,16,2019
2019-04-16,14:00,PL 1202/2007,353631,Plenário,camara,16,2019
2019-04-16,14:00,PL 1292/1995,16526,Plenário,camara,16,2019
2019-04-17,10:00,PEC 6/2019,2192459,CCJC,camara,16,2019
2019-04-23,14:30,PEC 6/2019,2192459,CCJC,camara,17,2019
2019-04-23,14:00,PL 1202/2007,353631,Plenário,camara,17,2019
2019-04-23,14:00,PL 1292/1995,16526,Plenário,camara,17,2019
2019-04-24,14:00,PL 1202/2007,353631,Plenário,camara,17,2019
2019-04-24,14:00,PL 1292/1995,16526,Plenário,camara,17,2019
2019-04-24,14:00,PL 1321/2019,2193540,Plenário,camara,17,2019
