id_ext,date,casa,PL 7180/2014,o que e escola sem partido,Escola Sem Partido,projeto escola sem partido,isPartial,max_pressao_principal,max_pressao_rel,maximo_geral,id_leggo
606722,2019-06-17,camara,0,0,6,0,False,6,0,6,12
606722,2019-06-24,camara,0,4,11,6,False,11,6,11,12
606722,2019-07-01,camara,0,0,12,9,False,12,9,12,12
606722,2019-07-08,camara,0,0,11,6,False,11,6,11,12
606722,2019-07-15,camara,0,6,20,6,False,20,6,20,12
606722,2019-07-22,camara,0,0,9,0,False,9,0,9,12
606722,2019-07-29,camara,0,0,13,0,False,13,0,13,12
606722,2019-08-05,camara,0,4,10,5,False,10,5,10,12
606722,2019-08-12,camara,0,0,11,4,False,11,4,11,12
606722,2019-08-19,camara,0,4,12,4,False,12,4,12,12
606722,2019-08-26,camara,0,4,15,0,False,15,4,15,12
606722,2019-09-02,camara,0,4,13,5,False,13,5,13,12
606722,2019-09-09,camara,0,4,17,5,False,17,5,17,12
606722,2019-09-16,camara,0,6,37,8,False,37,8,37,12
606722,2019-09-23,camara,0,5,10,4,False,10,5,10,12
606722,2019-09-30,camara,0,4,21,4,False,21,4,21,12
606722,2019-10-07,camara,0,9,41,8,False,41,9,41,12
606722,2019-10-14,camara,0,4,100,10,False,100,10,100,12
606722,2019-10-21,camara,0,5,14,4,False,14,5,14,12
606722,2019-10-28,camara,0,4,17,5,False,17,5,17,12
606722,2019-11-04,camara,0,0,10,4,False,10,4,10,12
606722,2019-11-11,camara,0,0,11,12,False,11,12,12,12
606722,2019-11-18,camara,0,4,14,5,False,14,5,14,12
606722,2019-11-25,camara,0,4,14,4,False,14,4,14,12
606722,2019-12-02,camara,0,5,9,5,False,9,5,9,12
606722,2019-12-09,camara,0,5,8,5,False,8,5,8,12
