,id_ext,date,casa,nova reforma da previdencia,nova previdencia,reforma da previdencia,PEC 6/2019,Nova Previdencia,isPartial,max_pressao_principal,max_pressao_rel,maximo_geral
0,137999,2019-08-05,senado,1,5,37,1,5,False,5,37,37
1,137999,2019-08-12,senado,1,2,15,0,2,False,2,15,15
2,137999,2019-08-19,senado,1,1,10,0,1,False,1,10,10
3,137999,2019-08-26,senado,1,1,12,0,1,False,1,12,12
4,137999,2019-09-02,senado,1,1,16,1,1,False,1,16,16
5,137999,2019-09-09,senado,1,1,11,0,1,False,1,11,11
6,137999,2019-09-16,senado,1,1,11,1,1,False,1,11,11
7,137999,2019-09-23,senado,0,1,12,0,1,False,1,12,12
8,137999,2019-09-30,senado,1,3,40,0,3,False,3,40,40
9,137999,2019-10-07,senado,1,1,13,0,1,False,1,13,13
10,137999,2019-10-14,senado,1,1,13,0,1,False,1,13,13
11,137999,2019-10-21,senado,4,17,100,1,17,False,17,100,100
12,137999,2019-10-28,senado,1,4,22,1,4,False,4,22,22
13,137999,2019-11-04,senado,1,3,14,0,3,False,3,14,14
14,137999,2019-11-11,senado,2,8,31,1,8,False,8,31,31
15,137999,2019-11-18,senado,1,2,12,0,2,False,2,12,12
