id_ext,date,casa,liberdade economica lei,Liberdade Economica,liberdade economica mp,mp da liberdade economica,MPV 881/2019,isPartial,max_pressao_principal,max_pressao_rel,maximo_geral,id_leggo
136531,2019-06-17,senado,1,6,3,1,1,False,6,3,6,56
136531,2019-06-24,senado,1,3,2,1,0,False,3,2,3,56
136531,2019-07-01,senado,1,4,2,1,1,False,4,2,4,56
136531,2019-07-08,senado,2,15,10,3,1,False,15,10,15,56
136531,2019-07-15,senado,1,4,4,2,1,False,4,4,4,56
136531,2019-07-22,senado,1,4,3,3,0,False,4,3,4,56
136531,2019-07-29,senado,1,5,3,2,0,False,5,3,5,56
136531,2019-08-05,senado,1,8,7,2,0,False,8,7,8,56
136531,2019-08-12,senado,5,100,55,14,2,False,100,55,100,56
136531,2019-08-19,senado,4,31,17,4,1,False,31,17,31,56
136531,2019-08-26,senado,2,9,5,2,1,False,9,5,9,56
136531,2019-09-02,senado,2,5,4,3,1,False,5,4,5,56
136531,2019-09-09,senado,3,5,3,3,0,False,5,3,5,56
136531,2019-09-16,senado,16,37,14,3,0,False,37,16,37,56
136531,2019-09-23,senado,10,20,6,2,0,False,20,10,20,56
136531,2019-09-30,senado,6,11,2,1,0,False,11,6,11,56
136531,2019-10-07,senado,6,10,2,5,0,False,10,6,10,56
136531,2019-10-14,senado,5,8,4,4,0,False,8,5,8,56
136531,2019-10-21,senado,4,7,2,1,0,False,7,4,7,56
136531,2019-10-28,senado,5,7,2,1,0,False,7,5,7,56
136531,2019-11-04,senado,6,9,1,2,0,False,9,6,9,56
136531,2019-11-11,senado,5,8,2,1,1,False,8,5,8,56
136531,2019-11-18,senado,3,5,3,3,0,False,5,3,5,56
136531,2019-11-25,senado,3,5,2,1,0,False,5,3,5,56
136531,2019-12-02,senado,3,4,3,1,0,False,4,3,4,56
136531,2019-12-09,senado,3,3,2,1,0,False,3,3,3,56
