id_ext,date,casa,PEC 45/2019,Reforma tributaria,reforma tributaria,isPartial,max_pressao_principal,max_pressao_rel,maximo_geral,id_leggo
2196833,2019-06-17,camara,28,26,26,False,28,26,28,60
2196833,2019-06-24,camara,14,37,37,False,37,37,37,60
2196833,2019-07-01,camara,0,35,35,False,35,35,35,60
2196833,2019-07-08,camara,18,100,100,False,100,100,100,60
2196833,2019-07-15,camara,27,44,44,False,44,44,44,60
2196833,2019-07-22,camara,21,46,46,False,46,46,46,60
2196833,2019-07-29,camara,14,40,40,False,40,40,40,60
2196833,2019-08-05,camara,14,90,90,False,90,90,90,60
2196833,2019-08-12,camara,31,80,80,False,80,80,80,60
2196833,2019-08-19,camara,25,58,58,False,58,58,58,60
2196833,2019-08-26,camara,25,51,51,False,51,51,51,60
2196833,2019-09-02,camara,25,49,49,False,49,49,49,60
2196833,2019-09-09,camara,38,52,52,False,52,52,52,60
2196833,2019-09-16,camara,41,45,45,False,45,45,45,60
2196833,2019-09-23,camara,13,36,36,False,36,36,36,60
2196833,2019-09-30,camara,25,40,40,False,40,40,40,60
2196833,2019-10-07,camara,12,30,30,False,30,30,30,60
2196833,2019-10-14,camara,18,35,35,False,35,35,35,60
2196833,2019-10-21,camara,16,29,29,False,29,29,29,60
2196833,2019-10-28,camara,13,24,24,False,24,24,24,60
2196833,2019-11-04,camara,12,32,32,False,32,32,32,60
2196833,2019-11-11,camara,12,69,69,False,69,69,69,60
2196833,2019-11-18,camara,12,40,40,False,40,40,40,60
2196833,2019-11-25,camara,11,24,24,False,24,24,24,60
2196833,2019-12-02,camara,12,30,30,False,30,30,30,60
2196833,2019-12-09,camara,14,19,19,False,19,19,19,60
