,id_ext,date,casa,o que e escola sem partido,PL 7180/2014,escola sem partido bh,projeto escola sem partido,Escola Sem Partido,isPartial,max_pressao_principal,max_pressao_rel,maximo_geral
0,606722,2019-05-27,camara,8,0,0,5,24,False,24,8,24
1,606722,2019-06-03,camara,4,0,0,6,20,False,20,6,20
2,606722,2019-06-10,camara,0,0,0,0,16,False,16,0,16
3,606722,2019-06-17,camara,4,0,0,6,12,False,12,6,12
4,606722,2019-06-24,camara,4,0,0,6,14,False,14,6,14
5,606722,2019-07-01,camara,0,0,0,9,12,False,12,9,12
6,606722,2019-07-08,camara,0,0,0,4,12,False,12,4,12
7,606722,2019-07-15,camara,6,0,0,6,17,False,17,6,17
8,606722,2019-07-22,camara,0,0,0,0,11,False,11,0,11
9,606722,2019-07-29,camara,0,0,0,4,18,False,18,4,18
10,606722,2019-08-05,camara,0,0,0,5,9,False,9,5,9
11,606722,2019-08-12,camara,0,0,0,5,11,False,11,5,11
12,606722,2019-08-19,camara,0,0,0,4,13,False,13,4,13
13,606722,2019-08-26,camara,4,4,0,5,12,False,12,5,12
14,606722,2019-09-02,camara,4,0,0,4,14,False,14,4,14
15,606722,2019-09-09,camara,4,0,4,5,15,False,15,5,15
16,606722,2019-09-16,camara,8,0,0,12,23,False,23,12,23
17,606722,2019-09-23,camara,5,0,0,5,13,False,13,5,13
18,606722,2019-09-30,camara,4,0,5,4,14,False,14,5,14
19,606722,2019-10-07,camara,11,0,11,8,60,False,60,11,60
20,606722,2019-10-14,camara,4,0,19,11,100,False,100,19,100
21,606722,2019-10-21,camara,5,0,7,5,15,False,15,7,15
22,606722,2019-10-28,camara,4,0,4,5,18,False,18,5,18
23,606722,2019-11-04,camara,4,0,4,4,14,False,14,4,14
24,606722,2019-11-11,camara,0,0,0,8,11,False,11,8,11
25,606722,2019-11-18,camara,4,4,0,4,26,False,26,4,26
