casa,id_ext,fase_global,local,data_inicio,data_fim,local_casa,pulou
senado,132865,Pré-Construção,,NA,NA,senado,TRUE
senado,132865,Construção,Comissões,2018-04-10T12:00:00Z,NA,senado,FALSE
senado,132865,Construção,Plenário,NA,NA,senado,FALSE
senado,132865,Pré-Revisão I,,NA,NA,senado,FALSE
senado,132865,Revisão I,Comissões,NA,NA,camara,FALSE
senado,132865,Revisão I,Plenário,NA,NA,camara,FALSE
senado,132865,Pré-Revisão II,,NA,NA,senado,FALSE
senado,132865,Revisão II,Comissões,NA,NA,senado,FALSE
senado,132865,Revisão II,Plenário,NA,NA,senado,FALSE
senado,132865,Sanção/Veto,Presidência da República,NA,NA,presidência da república,FALSE
senado,132865,Avaliação dos Vetos,Congresso,NA,NA,congresso,FALSE
senado,126364,Pré-Construção,,NA,NA,senado,TRUE
senado,126364,Construção,Comissões,2016-07-05T12:00:00Z,NA,senado,FALSE
senado,126364,Construção,Plenário,NA,NA,senado,FALSE
senado,126364,Pré-Revisão I,,NA,NA,senado,FALSE
senado,126364,Revisão I,Comissões,NA,NA,camara,FALSE
senado,126364,Revisão I,Plenário,NA,NA,camara,FALSE
senado,126364,Pré-Revisão II,,NA,NA,senado,FALSE
senado,126364,Revisão II,Comissões,NA,NA,senado,FALSE
senado,126364,Revisão II,Plenário,NA,NA,senado,FALSE
senado,126364,Sanção/Veto,Presidência da República,NA,NA,presidência da república,FALSE
senado,126364,Avaliação dos Vetos,Congresso,NA,NA,congresso,FALSE
senado,102721,Pré-Construção,,NA,NA,senado,TRUE
senado,102721,Construção,Comissões,2011-10-06T12:00:00Z,NA,senado,FALSE
senado,102721,Construção,Plenário,NA,NA,senado,FALSE
senado,102721,Pré-Revisão I,,NA,NA,senado,FALSE
senado,102721,Revisão I,Comissões,NA,NA,camara,FALSE
senado,102721,Revisão I,Plenário,NA,NA,camara,FALSE
senado,102721,Pré-Revisão II,,NA,NA,senado,FALSE
senado,102721,Revisão II,Comissões,NA,NA,senado,FALSE
senado,102721,Revisão II,Plenário,NA,NA,senado,FALSE
senado,102721,Sanção/Veto,Presidência da República,NA,NA,presidência da república,FALSE
senado,102721,Avaliação dos Vetos,Congresso,NA,NA,congresso,FALSE
senado,103831,Pré-Construção,,NA,NA,senado,TRUE
senado,103831,Construção,Comissões,2011-12-21T12:00:00Z,NA,senado,FALSE
senado,103831,Construção,Plenário,NA,NA,senado,FALSE
senado,103831,Pré-Revisão I,,NA,NA,senado,FALSE
senado,103831,Revisão I,Comissões,NA,NA,camara,FALSE
senado,103831,Revisão I,Plenário,NA,NA,camara,FALSE
senado,103831,Pré-Revisão II,,NA,NA,senado,FALSE
senado,103831,Revisão II,Comissões,NA,NA,senado,FALSE
senado,103831,Revisão II,Plenário,NA,NA,senado,FALSE
senado,103831,Sanção/Veto,Presidência da República,NA,NA,presidência da república,FALSE
