id_ext,casa,sigla_tipo,numero,data_apresentacao,ementa,palavras_chave,casa_origem,autor_nome,regime_tramitacao,forma_apreciacao,energia
132865,senado,PLS,168,2018-04-10T00:00:00Z,Regulamenta o licenciamento ambiental previsto no inciso IV do § 1º do art. 225 da Constituição Federal e dispõe sobre a avaliação ambiental estratégica.,"[CRIAÇÃO], [LEI FEDERAL], [REGULAMENTAÇÃO], [NORMAS GERAIS], [LICENÇA AMBIENTAL], [ATIVIDADE], [EMPREENDIMENTO], [UTILIZAÇÃO], [RECURSOS AMBIENTAIS], [POLUIÇÃO], [RESPONSAVEL], [DANOS], [MEIO AMBIENTE].",Senado Federal,Acir Gurgacz PDT/RO,Ordinária,Plenário,"0,093333333333333"
91341,senado,PLS,229,2009-05-28T00:00:00Z,"Estabelece normas gerais sobre plano, orçamento, controle e contabilidade pública, voltadas para a responsabilidade no processo orçamentário e na gestão financeira e patrimonial, altera dispositivos da Lei Complementar nº 101, de 4 de maio de 2000, a fim de fortalecer a gestão fiscal responsável e dá outras providências.","CRIAÇÃO, FIXAÇÃO, NORMAS, CRITÉRIOS, EXERCÍCIO FINANCEIRO, PLANEJAMENTO, ORÇAMENTO, PROJETO DE LEI ORÇAMENTÁRIA, RECURSOS ORÇAMENTÁRIOS, PATRIMÔNIO, FUNDO FINANCEIRO, UNIÃO, ESTADOS, (DF), MUNICÍPIOS, GESTÃO, PLANO PLURIANUAL, ORÇAMENTO PLURIANUAL DE INVESTIMENTOS, ORÇAMENTO PROGRAMA PLURIANUAL, RECEITA, DESPESA, POLÍTICA ECONÔMICO FINANCEIRA, PROGRAMA DE TRABALHO, DIRETRIZ, PRINCÍPIO CONSTITUCIONAL, DESPESA DE CAPITAL, FUNÇÃO, ATIVIDADE, PROJETO, OPERAÇÃO, UNIDADE ORÇAMENTÁRIA, CLASSIFICAÇÃO, AVALIAÇÃO, MANDATO, SANÇÃO PRESIDENCIAL, EXECUTIVO, LEGISLATIVO, SESSÃO LEGISLATIVA, INVESTIMENTO, DECRETO EXECUTIVO, REGULAMENTO, AGREGAÇÃO, CRÉDITO ADICIONAL, EXECUÇÃO, CRIME DE RESPONSABILIDADE, IMPEACHMENT, MENSAGEM PRESIDENCIAL, RELATÓRIO, EMPENHO, EMENDA, AGÊNCIA, DÍVIDA PÚBLICA, LIQUIDAÇÃO, PAGAMENTO, RECEITA LÍQUIDA, RECEITA CORRENTE, RESULTADO, REGIME GERAL DE PREVIDÊNCIA SOCIAL, FINANCIAMENTO, LEGISLAÇÃO TRIBUTÁRIA, POLÍTICA CAMBIAL, POLÍTICA DE CRÉDITO, POLÍTICA MONETÁRIA, RISCOS, JUROS, ENCARGO, REFINANCIAMENTO, AMORTIZAÇÃO, TÍTULO DA DÍVIDA PÚBLICA, SUPERÁVIT, SEGURIDADE SOCIAL, ASSISTÊNCIA SOCIAL, EMPRESA PÚBLICA, SOCIEDADE DE ECONOMIA MISTA, TESOURO NACIONAL, TESOURO ESTADUAL, GASTOS PÚBLICOS, MUTUÁRIO, TAXAS, AGENTE FINANCEIRO, (BCB), (BACEN), ADMINISTRAÇÃO PÚBLICA, RESTOS A PAGAR, ALIENAÇÃO, CUSTEIO, SUBVENÇÃO, CONVÊNIO, ACORDO, AJUSTE, TERMO, CONTRATO, CAPITAL SOCIAL, VETO, ABERTURA DE CRÉDITO, ARRECADAÇÃO, DEMONSTRAÇÃO FINANCEIRA, INCENTIVO FISCAL, BENEFÍCIO FISCAL, RESTITUIÇÃO, FAZENDA PÚBLICA, TRIBUNAL DE CONTAS, PRAZO, DIA, DISPONIBILIDADE FINANCEIRA, VINCULAÇÃO, EXIGIBILIDADE, FUNDOS PÚBLICOS, PRORROGAÇÃO, VIGÊNCIA, PRESCRIÇÃO, DÍVIDA EXTERNA, DÍVIDA INTERNA, DÍVIDA FLUTUANTE, CONSELHO FEDERAL, CONTABILIDADE, ESCRITURAÇÃO, BALANÇO PATRIMONIAL, PRESTAÇÃO DE CONTAS, INVENTÁRIO, SANÇÃO, FISCALIZAÇÃO, CONTROLE EXTERNO, CONTROLE INTERNO, ACOMPANHAMENTO, ELABORAÇÃO, LEI DE RESPONSABILIDADE FISCAL, DÍVIDA ATIVA, APRECIAÇÃO, ALTERAÇÃO, PROGRAMAÇÃO FINANCEIRA, COMPETÊNCIA, BALANÇO FINANCEIRO, BALANÇO ORÇAMENTÁRIO, LEVANTAMENTO, ORDENADOR DE DESPESA, (AP), (RR), COMPENSAÇÃO FINANCEIRA, DEDUÇÃO, MINISTÉRIO PÚBLICO, TRIBUNAIS, TRIBUNAL DE JUSTIÇA, JUDICIÁRIO, ADMISSÃO, CONTRATAÇÃO, NOMEAÇÃO, APOSENTADORIA, MORTO, CARGO PÚBLICO, CALAMIDADE PÚBLICA, VANTAGENS, AUMENTO, REAJUSTE, SISTEMA, SAÚDE, EDUCAÇÃO, SEGURANÇA, CERTIDÃO, JULGAMENTO, RENOVAÇÃO, EFICÁCIA, EFICIÊNCIA, CONSELHO, DEFENSORIA PÚBLICA, RESPONSABILIDADE ADMINISTRATIVA, RESPONSABILIDADE CIVIL, RESPONSABILIDADE PENAL, SUPRIMENTO, AUTÓGRAFOS.",Senado Federal,Tasso Jereissati PSDB/CE,Ordinária,Plenário,0
41703,senado,PLS,526,1999-08-31T00:00:00Z,"Altera a Lei nº 7802, de 11 de julho de 1999, que ""dispõe sobre a pesquisa, a experimentação, a produção, a embalagem e rotulagem,  o transporte, o armazenamento, a comercialização, a propaganda comercial, a utilização, a importação, o destino, a classificação, o controle, a inspeção e a fiscalização de agrotóxicos, seus componentes e afins, e dá outras providências.""","ALTERAÇÃO, DSPOSITIVOS, LEI FEDERAL, NORMAS, AGROTÓXICO, OBRIGATORIEDADE, ÓRGÃO EXECUTIVO, REGISTRO, UTILIZAÇÃO, REFERÊNCIA, RECONHECIMENTO, CORRELAÇÃO, EQUIVALÊNCIA, CARACTERIZAÇÃO, SUBSTÂNCIA, SIMILARIDADE, FÍSICA, PRODUTO, INDÚSTRIA QUÍMICA, RESÍDUOS PERIGOSOS, ESTUDO PRÉVIO, ANÁLISE, (RIMA).",Senado Federal,Blairo Maggi PR/MT,Ordinária,Conclusiva,0
127753,senado,PLS,449,2016-12-08T00:00:00Z,Regulamenta o limite remuneratório de que tratam o inciso XI e os §§ 9º e 11 do art. 37 da Constituição Federal.,"CRIAÇÃO, LEI FEDERAL, REGULAMENTAÇÃO, CONSTITUIÇÃO FEDERAL, LIMITAÇÃO, REMUNERAÇÃO, AGENTE, PODER PUBLICO. REVOGAÇÃO, DISPOSITIVOS, LEI FEDERAL, REGIME JURIDICO UNICO.",Senado Federal,Comissão Especial do Extrateto,Ordinária,Plenário,0
129808,senado,PLS,212,2017-06-28T00:00:00Z,"Altera a Lei Complementar nº 105, de 10 de janeiro de 2001, e a Lei nº 12.414, de 9 de junho de 2011, para fomentar a inclusão de dados nos cadastros positivos de crédito e regular a responsabilidade civil dos operadores.","ALTERAÇÃO, LEI FEDERAL, LEI COMPLEMENTAR, LEI DO SIGILO BANCARIO, LEI DO CADASTRO POSITIVO, SIGILO, QUEBRA DE SIGILO, OPERAÇÃO FINANCEIRA, INSTITUIÇÃO FINANCEIRA, FOMENTO, INCLUSÃO, DADOS, CADASTRO, CREDITO, ESTABELECIMENTO, RESPONSABILIDADE, OPERADOR.",Senado Federal,Dalirio Beber PSDB/SC,Urgência,Plenário,0
257161,camara,PL,3729,2004-06-08T00:00:00Z,"Dispõe sobre o licenciamento ambiental, regulamenta o inciso IV do § 1º do art. 225 da Constituição Federal, e dá outras providências. Dispõe que para a instalação de obra, empreendimento ou atividade potencialmente causadora de degradação do meio ambiente, será exigido Estudo Prévio de Impacto Ambiental (EIA), com ampla publicidade; regulamentando a Constituição Federal de 1988.","Regulamentação, Constituição Federal, normas, União Federal, Estados, (DF), Municípios, licenciamento ambiental, órgão público, (SISNAMA), publicidade, (INTERNET), exigência, Estudo de Impacto Ambiental, (RIMA), implantação, plano, programa, ampliação, obra civil, obra pública, atividade potencialmente poluidora,  licença prévia, instalação, operação, concessão, prazo determinado, realização, auditoria, contratação, seguros, responsabilidade civil, danos ambientais, penalidade, infrator.  
_ Criação, taxas, renovação, concessão, licenciamento ambiental, fixação, valor.",Câmara dos Deputados,Luciano Zica PSOL/CE,Urgência,Plenário,0
345311,camara,PL,490,2007-03-20T16:13:00Z,"Altera a Lei n° 6.001, de 19 de dezembro de 1973, que dispõe sobre o Estatuto do Índio.  Estabelece que as terras indígenas serão demarcadas através de leis.","Alteração, Estatuto do Índio, competência, Congresso Nacional, lei federal, demarcação, terras indígenas, registro de imóveis, contrato imobiliário.",Câmara dos Deputados,Homero Pereira PSD/SP,Ordinária,Plenário,0
2056568,camara,PL,3751,2015-11-25T13:36:00Z,"Dispõe sobre a desapropriação e indenização de propriedades privadas em unidades de conservação de domínio público. Altera a Lei nº 9.985, de 2000.","Alteração, Lei do SNUC, critério, desapropriação, indenização, propriedade privada, Unidade de conservação ambiental, domínio público.",Câmara dos Deputados,Toninho Pinheiro PP/MG,Ordinária,Conclusiva,0
46249,camara,PL,6299,2002-03-13T00:00:00Z,"Altera os arts 3º e 9º da Lei nº 7.802, de 11 de julho de 1989, que dispõe sobre a pesquisa, a experimentação, a produção, a embalagem e rotulagem, o transporte, o armazenamento, a comercialização, a propaganda comercial, a utilização, a importação, a exportação, o destino final dos resíduos e embalagens, o registro, a classificação, o controle, a inspeção e a fiscalização de agrotóxicos, seus componentes e afins, e dá outras providências. Dispõe que o registro prévio do agrotóxico será o do princípio ativo;  dá  competência à União para legislar sobre destruição de embalagem do defensivo agrícola.","Alteração, Lei dos Agrotóxicos, exigência, registro, princípio ativo, defensivo agrícola,   competência, União Federal, legislação, destruição, embalagem, agrotóxico.",Senado Federal,Senado Federal - BLAIRO MAGGI ,Prioridade,Plenário,0
2121442,camara,PL,6726,2016-12-14T22:16:00Z,"Regulamenta o limite remuneratório de que tratam o inciso XI e os §§ 9º e 11 do art. 37 da Constituição Federal. Revoga as Leis nº 8.448, de 1992 e 8.852, de 1994 e dispositivos das Leis nº 8.112, de 1990 e 10.887, de 2004.
","Regulamentação, Constituição Federal (1988), teto salarial, administração pública, União, Estado, Distrito Federal, Município, agente público, aposentadoria, pensão, remuneração, Ministro do Supremo Tribunal Federal.
_Alteração, Regime Jurídico Único dos Servidores Públicos Civis da União, revogação, dispositivo legal, teto salarial. 
_Revogação, lei federal, regulamentação, teto salarial, servidor público. 
_Revogação, lei federal, remuneração, servidor público. 
_Alteração, lei federal, revogação, dispositivo legal, sistema integrado de dados, União, Estado, Distrito Federal, Município, remuneração, servidor público, aposentado, pensionista. 
",Senado Federal,Senado Federal - Comissão Especial do Extrateto SF ,Prioridade,Plenário,"0,14"
