ano_materia,autoria_texto,casa,id_principal,id_documento,data_texto,descricao_identificacao_materia,descricao_objetivo_processo,descricao_subtipo_materia,descricao_texto,descricao_tipo_texto,formato_texto,identificacao_comissao_codigo_comissao,identificacao_comissao_nome_casa_comissao,identificacao_comissao_nome_comissao,identificacao_comissao_sigla_casa_comissao,identificacao_comissao_sigla_comissao,indicador_tramitando,nome_casa_identificacao_materia,numero_emenda,numero_materia,sigla_casa_identificacao_materia,sigla_subtipo_materia,tipo_documento,url_texto
2019,Senador Weverton (PDT/MA),senado,135216,7916349,2019-02-12,PL 663/2019,Iniciadora,PROJETO DE LEI,PL 663/2019 (Casa iniciadora-SF),Projeto de Lei Ordinária,application/pdf,NA,NA,NA,NA,NA,Sim,Senado Federal,NA,00663,SF,PL,PDF,http://legis.senado.leg.br/sdleg-getter/documento?dm=7916349
2019,Senador Rodrigo Pacheco (DEM/MG),senado,135216,7943572,2019-04-23,PL 663/2019,Iniciadora,PROJETO DE LEI,Requerimento,Requerimento,application/pdf,1998,Senado Federal,Plenário do Senado Federal,SF,PLEN,Sim,Senado Federal,NA,00663,SF,PL,PDF,http://legis.senado.leg.br/sdleg-getter/documento?dm=7943572
2019,Presidente do Senado Federal: Senador Sérgio Petecão (PSD/AC),senado,135216,7945061,2019-04-24,PL 663/2019,Iniciadora,PROJETO DE LEI,Ofício,Ofício,application/pdf,34,Senado Federal,"Comissão de Constituição, Justiça e Cidadania",SF,CCJ,Sim,Senado Federal,NA,00663,SF,PL,PDF,http://legis.senado.leg.br/sdleg-getter/documento?dm=7945061
2019,Presidente do Senado Federal,senado,135216,7945325,2019-04-25,PL 663/2019,Iniciadora,PROJETO DE LEI,Ofício,Ofício,application/pdf,1998,Senado Federal,Plenário do Senado Federal,SF,PLEN,Sim,Senado Federal,NA,00663,SF,PL,PDF,http://legis.senado.leg.br/sdleg-getter/documento?dm=7945325
2019,Senador Marcio Bittar (MDB/AC),senado,135796,7928653,2019-03-19,PLP 71/2019,Iniciadora,PROJETO DE LEI COMPLEMENTAR,PLP 71/2019 (Casa iniciadora-SF),Projeto de Lei Complementar,application/pdf,NA,NA,NA,NA,NA,Sim,Senado Federal,NA,00071,SF,PLP,PDF,http://legis.senado.leg.br/sdleg-getter/documento?dm=7928653
2019,Senador Alessandro Vieira (CIDADANIA/SE),senado,135796,7949834,2019-05-07,PLP 71/2019,Iniciadora,PROJETO DE LEI COMPLEMENTAR,Relatório Legislativo - SF197765071165,Relatório Legislativo,application/pdf,50,Senado Federal,Comissão de Meio Ambiente,SF,CMA,Sim,Senado Federal,NA,00071,SF,PLP,PDF,http://legis.senado.leg.br/sdleg-getter/documento?dm=7949834
2019,Comissão de Meio Ambiente,senado,135796,7956389,2019-05-22,PLP 71/2019,Iniciadora,PROJETO DE LEI COMPLEMENTAR,Listagem ou relatório descritivo,Listagem ou relatório descritivo,application/pdf,50,Senado Federal,Comissão de Meio Ambiente,SF,CMA,Sim,Senado Federal,NA,00071,SF,PLP,PDF,http://legis.senado.leg.br/sdleg-getter/documento?dm=7956389
2019,Autoria não registrada.,senado,135796,7956545,2019-05-22,PLP 71/2019,Iniciadora,PROJETO DE LEI COMPLEMENTAR,P.S 14/2019 - CMA,Parecer,application/pdf,50,Senado Federal,Comissão de Meio Ambiente,SF,CMA,Sim,Senado Federal,NA,00071,SF,PLP,PDF,http://legis.senado.leg.br/sdleg-getter/documento?dm=7956545
2019,Senador Marcio Bittar (MDB/AC),senado,135796,7957050,2019-05-23,PLP 71/2019,Iniciadora,PROJETO DE LEI COMPLEMENTAR,R.S 6/2019,Recurso,application/pdf,1998,Senado Federal,Plenário do Senado Federal,SF,PLEN,Sim,Senado Federal,NA,00071,SF,PLP,PDF,http://legis.senado.leg.br/sdleg-getter/documento?dm=7957050
2019,Senadora Eliziane Gama (CIDADANIA/MA),senado,135796,7963194,2019-06-06,PLP 71/2019,Iniciadora,PROJETO DE LEI COMPLEMENTAR,EMENDA 1 PLEN - PLP 71/2019,Emenda,application/pdf,1998,Senado Federal,Plenário do Senado Federal,SF,PLEN,Sim,Senado Federal,00001,00071,SF,PLP,PDF,http://legis.senado.leg.br/sdleg-getter/documento?dm=7963194
