id_leggo,id_autor,nome,partido,uf,bancada,casa_autor,nome_eleitoral,node_size,id_autor_parlametria
1,3396,Sen. Tasso Jereissati,PSDB,CE,governo,senado,Sen. Tasso Jereissati (PSDB/CE),4,23396
1,5008,Sen. Humberto Costa,PT,PE,oposição,senado,Sen. Humberto Costa (PT/PE),2,25008
1,5012,Sen. Randolfe Rodrigues,REDE,AP,oposição,senado,Sen. Randolfe Rodrigues (REDE/AP),1,25012
1,5376,Sen. Mara Gabrilli,PSDB,SP,governo,senado,Sen. Mara Gabrilli (PSDB/SP),3,25376
1,5411,Sen. Weverton,PDT,MA,oposição,senado,Sen. Weverton (PDT/MA),1,25411
1,5535,Sen. Telmário Mota,PROS,RR,governo,senado,Sen. Telmário Mota (PROS/RR),1,25535
1,677,Sen. Roberto Rocha,PSDB,MA,governo,senado,Sen. Roberto Rocha (PSDB/MA),1,2677
1,825,Sen. Paulo Paim,PT,RS,oposição,senado,Sen. Paulo Paim (PT/RS),3,2825
2,134812,Dep. Edmilson Rodrigues,PSOL,PA,oposição,camara,Dep. Edmilson Rodrigues (PSOL/PA),0.5,1134812
2,141523,Dep. Raul Henry,MDB,PE,governo,camara,Dep. Raul Henry (MDB/PE),1,1141523
2,160592,Dep. Zeca Dirceu,PT,PR,oposição,camara,Dep. Zeca Dirceu (PT/PR),0.8888888888888888,1160592
2,160604,Dep. Pedro Uczai,PT,SC,oposição,camara,Dep. Pedro Uczai (PT/SC),3.888888888888889,1160604
2,160639,Dep. Professora Dorinha Seabra Rezende,DEM,TO,governo,camara,Dep. Professora Dorinha Seabra Rezende (DEM/TO),10.5,1160639
2,171619,Dep. Margarida Salomão,PT,MG,oposição,camara,Dep. Margarida Salomão (PT/MG),0.8888888888888888,1171619
2,178842,Dep. Jhc,PSB,AL,oposição,camara,Dep. Jhc (PSB/AL),0.8333333333333333,1178842
2,178925,Dep. Rejane Dias,PT,PI,oposição,camara,Dep. Rejane Dias (PT/PI),1,1178925
2,178970,Dep. João Daniel,PT,SE,oposição,camara,Dep. João Daniel (PT/SE),1,1178970
2,198783,Dep. Emanuel Pinheiro Neto,PTB,MT,governo,camara,Dep. Emanuel Pinheiro Neto (PTB/MT),0.8333333333333333,1198783
2,204371,Dep. Felipe Rigoni,PSB,ES,oposição,camara,Dep. Felipe Rigoni (PSB/ES),2.3333333333333335,1204371
2,204375,Dep. Leda Sadala,AVANTE,AP,governo,camara,Dep. Leda Sadala (AVANTE/AP),1,1204375
2,204429,Dep. João H. Campos,PSB,PE,oposição,camara,Dep. João H. Campos (PSB/PE),0.8333333333333333,1204429
2,204433,Dep. Marcelo Calero,CIDADANIA,RJ,governo,camara,Dep. Marcelo Calero (CIDADANIA/RJ),0.5,1204433
2,204453,Dep. Natália Bonavides,PT,RN,oposição,camara,Dep. Natália Bonavides (PT/RN),0.8888888888888888,1204453
2,204459,Dep. Daniela Do Waguinho,MDB,RJ,governo,camara,Dep. Daniela Do Waguinho (MDB/RJ),1,1204459
2,204467,Dep. Professora Rosa Neide,PT,MT,oposição,camara,Dep. Professora Rosa Neide (PT/MT),5.888888888888889,1204467
2,204519,Dep. Tiago Mitraud,NOVO,MG,governo,camara,Dep. Tiago Mitraud (NOVO/MG),2.333333333333333,1204519
2,204533,Dep. Idilvan Alencar,PDT,CE,oposição,camara,Dep. Idilvan Alencar (PDT/CE),1,1204533
2,69871,Dep. Bacelar,PODE,BA,governo,camara,Dep. Bacelar (PODE/BA),1.5,169871
2,74057,Dep. Alice Portugal,PCdoB,BA,oposição,camara,Dep. Alice Portugal (PCdoB/BA),1,174057
2,74160,Dep. Patrus Ananias,PT,MG,oposição,camara,Dep. Patrus Ananias (PT/MG),0.8888888888888888,174160
2,74161,Dep. Reginaldo Lopes,PT,MG,oposição,camara,Dep. Reginaldo Lopes (PT/MG),0.8888888888888888,174161
2,74398,Dep. Maria Do Rosário,PT,RS,oposição,camara,Dep. Maria Do Rosário (PT/RS),0.8888888888888888,174398
2,204535,Dep. Sâmia Bomfim,PSOL,SP,oposição,camara,Dep. Sâmia Bomfim (PSOL/SP),0.5,1204535
2,204501,Dep. Alencar Santana Braga,PT,SP,oposição,camara,Dep. Alencar Santana Braga (PT/SP),0.8888888888888888,1204501
2,204528,Dep. Adriana Ventura,NOVO,SP,governo,camara,Dep. Adriana Ventura (NOVO/SP),0.8333333333333333,1204528
2,204534,Dep. Tabata Amaral,PDT,SP,oposição,camara,Dep. Tabata Amaral (PDT/SP),1.5,1204534
3,204436,Dep. Isnaldo Bulhões Jr.,MDB,AL,governo,camara,Dep. Isnaldo Bulhões Jr. (MDB/AL),1,1204436
4,204398,Dep. Felipe Francischini,PSL,PR,governo,camara,Dep. Felipe Francischini (PSL/PR),1,1204398
4,204540,Dep. Maria Rosas,PRB,SP,governo,camara,Dep. Maria Rosas (PRB/SP),1,1204540
5,160639,Dep. Professora Dorinha Seabra Rezende,DEM,TO,governo,camara,Dep. Professora Dorinha Seabra Rezende (DEM/TO),1,1160639
5,204377,Dep. Paula Belmonte,CIDADANIA,DF,governo,camara,Dep. Paula Belmonte (CIDADANIA/DF),2,1204377
5,204427,Dep. Fernando Rodolfo,PL,PE,governo,camara,Dep. Fernando Rodolfo (PL/PE),1,1204427
7,178929,Dep. Diego Garcia,PODE,PR,governo,camara,Dep. Diego Garcia (PODE/PR),1,1178929
7,178931,Dep. Luciano Ducci,PSB,PR,oposição,camara,Dep. Luciano Ducci (PSB/PR),1,1178931
7,178975,Dep. Baleia Rossi,MDB,SP,governo,camara,Dep. Baleia Rossi (MDB/SP),2,1178975
7,204406,Dep. Pedro Westphalen,PP,RS,governo,camara,Dep. Pedro Westphalen (PP/RS),2,1204406
8,178925,Dep. Rejane Dias,PT,PI,oposição,camara,Dep. Rejane Dias (PT/PI),1,1178925
8,178993,Dep. Carlos Henrique Gaguim,DEM,TO,governo,camara,Dep. Carlos Henrique Gaguim (DEM/TO),1,1178993
8,194260,Dep. Nivaldo Albuquerque,PTB,AL,governo,camara,Dep. Nivaldo Albuquerque (PTB/AL),4,1194260
8,204420,Dep. Julian Lemos,PSL,PB,governo,camara,Dep. Julian Lemos (PSL/PB),1,1204420
8,204421,Dep. Edna Henrique,PSDB,PB,governo,camara,Dep. Edna Henrique (PSDB/PB),1,1204421
8,75431,Dep. Maurício Dziedricki,PTB,RS,governo,camara,Dep. Maurício Dziedricki (PTB/RS),1,175431
9,133439,Dep. André Figueiredo,PDT,CE,oposição,camara,Dep. André Figueiredo (PDT/CE),1,1133439
9,178912,Dep. Pedro Cunha Lima,PSDB,PB,governo,camara,Dep. Pedro Cunha Lima (PSDB/PB),3,1178912
9,204533,Dep. Idilvan Alencar,PDT,CE,oposição,camara,Dep. Idilvan Alencar (PDT/CE),1,1204533
10,74398,Dep. Maria Do Rosário,PT,RS,oposição,camara,Dep. Maria Do Rosário (PT/RS),1,174398
11,143632,Dep. Domingos Neto,PSD,CE,governo,camara,Dep. Domingos Neto (PSD/CE),2,1143632
12,204462,Dep. Chris Tonietto,PSL,RJ,governo,camara,Dep. Chris Tonietto (PSL/RJ),4,1204462
12,204472,Dep. José Medeiros,PODE,MT,governo,camara,Dep. José Medeiros (PODE/MT),1,1204472
12,204488,Dep. Célio Studart,PV,CE,governo,camara,Dep. Célio Studart (PV/CE),1,1204488
13,204351,Dep. Dr. Luiz Ovando,PSL,MS,governo,camara,Dep. Dr. Luiz Ovando (PSL/MS),1,1204351
14,204377,Dep. Paula Belmonte,CIDADANIA,DF,governo,camara,Dep. Paula Belmonte (CIDADANIA/DF),1,1204377
15,178909,Dep. Hélio Leite,DEM,PA,governo,camara,Dep. Hélio Leite (DEM/PA),1,1178909
15,74398,Dep. Maria Do Rosário,PT,RS,oposição,camara,Dep. Maria Do Rosário (PT/RS),1,174398
16,204565,Dep. Professora Dayane Pimentel,PSL,BA,governo,camara,Dep. Professora Dayane Pimentel (PSL/BA),1,1204565
16,81297,Dep. Dra. Soraya Manato,PSL,ES,governo,camara,Dep. Dra. Soraya Manato (PSL/ES),1,181297
19,160642,Dep. Pastor Eurico,PATRIOTA,PE,governo,camara,Dep. Pastor Eurico (PATRIOTA/PE),1,1160642
19,204369,Dep. Caroline De Toni,PSL,SC,governo,camara,Dep. Caroline De Toni (PSL/SC),1.6666666666666665,1204369
19,204374,Dep. Bia Kicis,PSL,DF,governo,camara,Dep. Bia Kicis (PSL/DF),0.6666666666666666,1204374
19,204398,Dep. Felipe Francischini,PSL,PR,governo,camara,Dep. Felipe Francischini (PSL/PR),1,1204398
19,204453,Dep. Natália Bonavides,PT,RN,oposição,camara,Dep. Natália Bonavides (PT/RN),1,1204453
19,204462,Dep. Chris Tonietto,PSL,RJ,governo,camara,Dep. Chris Tonietto (PSL/RJ),2.1666666666666665,1204462
19,204467,Dep. Professora Rosa Neide,PT,MT,oposição,camara,Dep. Professora Rosa Neide (PT/MT),2,1204467
19,204481,Dep. Dr. Jaziel,PL,CE,governo,camara,Dep. Dr. Jaziel (PL/CE),1,1204481
19,204501,Dep. Alencar Santana Braga,PT,SP,oposição,camara,Dep. Alencar Santana Braga (PT/SP),1,1204501
19,204503,Dep. Alexandre Padilha,PT,SP,oposição,camara,Dep. Alexandre Padilha (PT/SP),1,1204503
19,204519,Dep. Tiago Mitraud,NOVO,MG,governo,camara,Dep. Tiago Mitraud (NOVO/MG),2,1204519
19,204527,Dep. Geninho Zuliani,DEM,SP,governo,camara,Dep. Geninho Zuliani (DEM/SP),1,1204527
19,73801,Dep. Renildo Calheiros,PCdoB,PE,oposição,camara,Dep. Renildo Calheiros (PCdoB/PE),1,173801
19,204545,Dep. Alê Silva,PSL,MG,governo,camara,Dep. Alê Silva (PSL/MG),0.5,1204545
20,164360,Dep. Carmen Zanotto,CIDADANIA,SC,governo,camara,Dep. Carmen Zanotto (CIDADANIA/SC),1,1164360
20,204367,Dep. Daniel Freitas,PSL,SC,governo,camara,Dep. Daniel Freitas (PSL/SC),4,1204367
20,204566,Dep. Marreca Filho,PATRIOTA,MA,governo,camara,Dep. Marreca Filho (PATRIOTA/MA),2,1204566
21,204504,Dep. Cezinha De Madureira,PSD,SP,governo,camara,Dep. Cezinha De Madureira (PSD/SP),1,1204504
22,204451,Dep. Delegado Antônio Furtado,PSL,RJ,governo,camara,Dep. Delegado Antônio Furtado (PSL/RJ),2,1204451
22,68720,Dep. Fábio Henrique,PDT,SE,oposição,camara,Dep. Fábio Henrique (PDT/SE),1,168720
